1	17	1	2	1	1	3	3	1	1	2	1	2	2	2	2	2	2	1	3	4	2	4	1	1	2	4	4	4	4	4	4	4	4	4	1.9	1.33333333333333	4	2.8	4	1	1	1	2.7	3.1	0
4	13	2	2	3	1	3	3	2	2	3	1	1	2	1	2	2	2	3	3	3	2	3	1	2	1	3	2	2	2	4	1	2	2	1	2.4	1.44444444444444	3	2.8	2	2	2	1	1.85	2.6	0
5	13	2	4	1	1	3	2	1	1	2	1	2	1	1	2	2	2	3	4	4	4	4	4	2	2	2	1	2	2	2	1	4	4	2	4.2	3.66666666666667	2.8	3.2	2	1	3	3	2.55	2.3	0
6	12	1	2	1	1	3	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.55555555555556	2.6	2.2	3	3	3	3	2.2	2.7	0
8	13	1	2	1	1	3	3	2	2	2	2	2	2	2	2	2	2	1	4	3	2	4	3	2	4	3	3	4	2	4	2	2	3	3	3.4	4	2.6	3.4	4	1	2	1	2.55	2.1	0
10	12	2	5	2	1	3	2	2	2	4	3	5	1	1	3	2	2	2	3	3	3	4	3	2	2	3	3	4	3	4	2	3	3	2	1.2	1.22222222222222	2.8	3	3	1	2	1	2.5	2.4	0
11	16	1	3	2	2	3	6	2	2	2	2	2	2	2	2	3	2	2	2	3	2	3	2	2	3	4	2	1	1	4	2	2	3	2	3.6	2.88888888888889	2.6	2.8	3	2	1	1	2.05	2.4	0
12	16	1	7	1	1	2	2	1	2	1	4	2	2	2	1	1	1	4	2	1	4	4	1	1	1	4	2	1	1	4	1	1	1	1	3.1	3.77777777777778	2.8	2.4	1	1	1	1	1.25	2.7	0
13	14	1	3	1	3	3	6	3	1	2	2	2	1	1	2	2	3	2	2	3	2	3	2	2	2	3	2	3	3	4	2	3	3	2	2.7	2.11111111111111	3	3	3	2	2	1	2.3	2.5	0
14	13	1	3	1	1	3	1	2	2	2	3	4	1	5	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	2.6	3.11111111111111	2.8	2.4	3	4	3	2	1.5	2.7	0
15	14	1	3	2	1	3	1	3	3	3	3	3	3	1	2	3	3	2	2	1	2	4	1	2	1	4	2	1	1	4	1	1	1	2	3.4	2.33333333333333	3.4	2.4	3	1	1	1	1.6	3	0
16	12	1	2	1	1	3	5	2	2	3	1	2	1	1	1	1	2	4	2	1	4	3	2	2	2	4	3	1	2	4	1	2	1	2	1.4	1.22222222222222	3.6	2	1	2	1	1	1.7	3.3	0
17	13	2	3	1	1	3	3	3	4	4	3	4	3	1	3	1	4	2	3	2	3	4	2	3	4	4	3	4	3	4	2	3	4	2	3.2	2.11111111111111	3.4	2.8	3	1	1	1	2.6	2.8	0
18	14	1	2	2	1	4	2	4	3	2	1	1	2	1	3	2	3	2	1	3	2	1	1	2	3	3	2	2	2	4	1	2	2	2	2	2.77777777777778	2.8	2	3	4	2	1	2.15	2.9	0
19	14	1	4	1	1	3	2	5	3	1	1	1	1	1	1	2	1	3	2	1	1	4	1	1	4	3	1	1	1	3	1	1	1	3	2.5	2.66666666666667	4	2	2	1	2	2	1.5	3.5	0
20	13	1	3	3	1	3	2	4	3	2	3	4	5	1	2	2	2	3	2	3	4	3	2	2	3	4	3	2	2	4	1	2	2	2	2.5	2.33333333333333	2.6	2	2	2	1	1	2.1	2.8	0
21	13	1	3	2	2	3	2	4	4	1	2	1	1	1	1	1	1	2	1	2	2	3	1	1	2	3	3	2	3	4	2	2	2	2	3.1	2.11111111111111	2.8	1.4	3	2	2	1	1.8	3.2	0
23	14	2	2	2	2	3	1	5	5	2	3	2	2	2	3	3	3	1	3	4	4	4	2	2	3	3	3	3	3	4	2	4	4	3	3.2	2.77777777777778	3	2.8	4	1	2	1	2.85	2.6	0
24	12	1	3	2	1	3	2	2	3	1	2	1	2	1	3	3	2	3	3	3	2	3	2	2	2	3	2	3	3	3	2	2	3	3	2.7	3.22222222222222	3	3	2	2	2	2	2.4	2.5	0
26	12	2	2	1	1	2	2	5	5	2	3	1	1	1	1	1	1	4	2	1	4	3	1	1	3	4	4	1	1	4	1	1	1	1	3.6	2.44444444444444	3.6	1.8	1	2	1	1	1.5	3.4	0
27	11	2	4	1	1	4	1	2	3	1	3	1	3	1	2	2	2	3	3	2	3	2	1	3	2	3	2	3	2	4	2	2	3	2	1.5	2.11111111111111	3.4	1.8	2	3	2	1	2.2	3.3	0
28	11	1	2	2	5	3	4	5	5	1	1	1	1	1	2	1	1	3	1	1	4	4	1	1	1	4	2	2	1	4	1	1	2	1	1.7	1.55555555555556	3.4	1.8	2	1	1	1	1.4	3.3	0
29	13	1	3	1	1	3	2	2	4	3	3	2	2	1	4	1	2	3	2	1	2	4	2	2	3	2	2	2	2	3	2	2	2	2	2.1	1.88888888888889	2.8	2	2	1	3	2	2.05	2.9	0
30	14	2	3	1	1	3	3	1	2	3	4	3	2	1	2	2	1	2	3	1	2	4	3	1	1	4	3	3	2	4	3	2	3	1	2.4	3	2.6	2.8	3	1	1	1	1.95	2.4	0
31	14	1	2	2	1	2	2	3	3	3	4	3	3	3	3	2	2	2	2	1	2	2	2	2	4	2	2	2	2	2	2	2	2	2	3.4	3.66666666666667	2.6	2.8	3	3	3	3	2.3	2.4	0
32	14	1	4	1	1	3	1	2	2	2	1	1	1	1	1	2	3	3	2	3	2	3	2	3	2	2	3	4	2	2	1	3	2	2	2.6	3	2.2	3	2	2	3	3	2.35	2.1	0
33	14	2	4	1	13	4	4	2	1	2	2	2	2	2	2	1	2	3	4	2	3	2	2	2	3	2	2	1	2	4	1	1	3	2	2.2	2.44444444444444	2.8	2.4	2	3	3	1	2.1	2.7	0
34	13	1	4	2	1	3	2	5	5	1	1	1	1	1	3	1	4	3	2	3	3	4	1	1	3	4	3	3	1	4	1	3	1	1	1.9	2.66666666666667	3.4	3	2	1	1	1	1.95	2.77777777777778	0
35	13	2	4	4	1	3	2	2	1	1	2	2	2	1	2	2	2	3	2	3	2	1	2	2	2	3	1	2	3	3	2	3	2	2	2.2	2.77777777777778	3	2.4	2	4	2	2	2.2	2.8	0
36	12	1	2	1	1	2	5	3	1	2	3	2	1	1	1	2	2	4	2	2	3	2	2	1	3	2	4	3	3	1	2	2	2	2	3.44444444444444	3.11111111111111	3.2	2.6	1	3	3	4	2.35	2.8	0
37	14	1	2	2	1	3	2	2	4	3	3	2	3	1	2	1	1	4	2	1	2	3	1	1	1	4	2	2	1	4	1	1	1	1	2.8	3.66666666666667	3.2	1.6	1	2	1	1	1.3	3.3	0
38	11	1	3	2	1	3	2	2	2	2	2	5	2	2	3	2	2	3	2	2	3	4	2	3	3	3	3	3	2	4	1	2	2	2	3.1	2.55555555555556	3.2	2.4	2	1	2	1	2.15	2.9	0
39	13	2	2	1	1	3	2	4	3	1	1	1	1	1	3	3	3	3	3	3	2	4	2	3	2	4	2	2	2	4	2	3	3	2	2.9	3.11111111111111	2.8	2.6	2	1	1	1	2.25	2.6	0
40	12	2	3	1	1	3	1	4	3	3	2	3	4	2	2	1	2	3	3	2	4	4	2	3	2	4	3	4	2	4	1	2	2	2	3.3	2.77777777777778	3	2.8	2	1	1	1	2.1	2.6	0
41	12	1	3	1	1	2	4	2	3	2	2	2	1	2	2	2	2	3	2	1	3	2	2	2	2	3	3	3	2	2	1	3	3	2	4	2.66666666666667	3.2	3	2	3	2	3	2.25	2.6	0
42	13	2	4	2	1	3	4	3	3	3	3	2	5	3	4	3	3	1	4	4	1	4	4	4	1	3	2	2	3	4	4	4	4	2	3.5	2.66666666666667	2.6	4	4	1	2	1	2.85	1.8	0
43	13	2	2	1	5	2	6	4	3	2	2	3	2	1	1	2	1	3	1	2	3	4	1	1	1	4	1	2	1	4	1	1	1	1	1.8	2.22222222222222	2.8	2.2	2	1	1	1	1.3	2.8	0
44	12	1	4	2	1	2	1	2	1	2	1	1	1	1	2	1	1	2	3	2	3	2	1	2	2	4	2	2	1	4	1	2	2	2	2.5	2.55555555555556	3	2	3	3	1	1	1.85	3	0
45	14	1	3	2	1	3	1	2	2	2	2	2	2	2	1	1	1	3	3	2	2	3	1	2	1	3	3	1	1	4	2	1	1	1	3.7	3.66666666666667	3	2.4	2	2	2	1	1.55	2.8	0
47	12	1	3	2	1	4	2	4	4	4	4	3	5	3	1	3	1	2	4	1	2	4	3	1	1	2	4	1	2	4	1	1	1	1	2.22222222222222	3.44444444444444	2.6	2.8	3	1	3	1	1.8	2.4	0
49	12	1	2	1	1	1	4	3	3	1	1	1	3	1	2	3	1	2	3	2	4	4	2	2	3	2	2	2	3	4	1	2	3	2	2.5	3.33333333333333	3.2	3.4	3	1	3	1	2.25	2.4	0
51	14	2	4	2	1	3	1	4	4	5	5	5	5	5	2	2	2	3	3	1	4	4	2	2	2	4	2	2	2	4	1	2	2	2	3.1	3.11111111111111	3	2.6	2	1	1	1	1.9	2.7	0
52	11	1	3	2	1	2	2	3	1	1	1	1	3	1	1	1	1	3	2	1	4	3	2	2	1	4	2	4	2	4	1	1	2	1	3	1.22222222222222	2.8	2.8	2	2	1	1	1.7	2.5	0
53	12	2	3	2	3	2	4	2	3	1	2	1	1	1	2	2	1	3	2	2	4	4	1	2	3	4	1	2	3	4	2	2	3	3	2.7	3.55555555555556	2.6	2.8	2	1	1	1	2	2.4	0
55	13	2	2	6	1	3	2	2	2	1	1	1	1	1	2	2	3	3	1	1	3	3	1	1	3	3	2	2	2	3	2	2	1	1	3.1	2	2.8	1.6	2	2	2	2	1.85	3.1	0
56	13	1	2	1	1	4	1	2	1	1	1	1	1	1	2	1	1	3	4	1	3	4	1	1	1	3	2	2	1	4	1	1	1	1	1.3	1	3.6	2.2	2	1	2	1	1.5	3.2	0
57	12	2	3	1	1	2	2	4	4	2	1	1	2	2	1	2	3	1	3	4	2	3	2	4	4	2	4	4	4	3	4	4	4	4	2.3	2.33333333333333	3.2	3	4	2	3	2	3.2	2.6	0
